race_id,course_type,distance,weather,condition,date,rank,waku,umaban,horse_name,horse_id,jockey,jockey_id,time,odds,popularity
202643012101,dirt,3,cloudy,good,1,1,7,8,キャプテンデューク,2023101613,張田昂,05549,1:17.0,,1-1-1
202643012101,dirt,3,cloudy,good,1,2,5,5,エッグスクランブル,2023103349,川島正太,05444,1:17.2,,7-5-5
202643012101,dirt,3,cloudy,good,1,3,8,10,リプサリス,2023100884,小杉亮,a025d,1:17.5,,2-2-2
202643012101,dirt,3,cloudy,good,1,4,4,4,モルゲンレーテ,2023103902,本橋孝太,05488,1:17.7,,3-3-3
202643012101,dirt,3,cloudy,good,1,5,1,1,シシリアンマインド,2023107026,矢野貴之,05380,1:18.4,,4-4-4
202643012101,dirt,3,cloudy,good,1,6,7,7,エスケイドラゴン,2023100366,藤本現暉,05590,1:18.6,,8-8-8
202643012101,dirt,3,cloudy,good,1,7,6,6,セッティングセイル,2023101912,中山遥人,a05d8,1:18.6,,5-6-6
202643012101,dirt,3,cloudy,good,1,8,3,3,リュウノキャロット,2023100363,山本聡紀,a02b0,1:19.0,,6-7-7
202643012101,dirt,3,cloudy,good,1,9,8,9,トゥンカロン,2023102746,山口達弥,a01fb,1:19.3,,10-9-9
202643012101,dirt,3,cloudy,good,1,10,2,2,カミイダイヤモンド,2023103871,町田直希,05455,1:19.8,,9-10-10
202643012102,dirt,3,cloudy,good,2,1,5,6,シンボリライト,2022101544,本橋孝太,05488,1:15.4,,2-2-1
202643012102,dirt,3,cloudy,good,2,2,8,11,ビービープリメーロ,2022102419,本田正重,05443,1:15.7,,5-6-6
202643012102,dirt,3,cloudy,good,2,3,5,5,デルマカタスカシ,2020102109,小杉亮,a025d,1:16.0,,6-5-4
202643012102,dirt,3,cloudy,good,2,4,7,10,タカイチナダル,2022100345,笠野雄大,a0235,1:16.6,,3-3-2
202643012102,dirt,3,cloudy,good,2,5,2,2,バスキュラリティ,2022100004,山口達弥,a01fb,1:16.6,,7-7-5
202643012102,dirt,3,cloudy,good,2,6,8,12,カナーリオ,2021102985,西村栄喜,05457,1:16.6,,12-9-9
202643012102,dirt,3,cloudy,good,2,7,3,3,リュウノヒナギク,2022104356,岡村健司,05562,1:16.8,,8-8-8
202643012102,dirt,3,cloudy,good,2,8,6,7,ボタンブーケ,2021107342,濱田達也,a0236,1:17.0,,11-12-11
202643012102,dirt,3,cloudy,good,2,9,6,8,プリンセスキアラ,2020104003,山中悠希,05598,1:17.8,,4-4-7
202643012102,dirt,3,cloudy,good,2,10,7,9,トキノジーク,2021106957,高橋利幸,a01f7,1:18.2,,9-10-10
202643012102,dirt,3,cloudy,good,2,11,1,1,ブラックムート,2021107136,椿聡太,a05d9,1:19.7,,10-11-12
202643012102,dirt,3,cloudy,good,2,12,4,4,ブルーグリッター,2018100578,石川倭,05534,1:20.5,,1-1-3
202643012103,dirt,2,cloudy,good,3,1,6,8,ストラーダレアーレ,2022103928,笹川翼,05524,1:38.3,,6-6-4-3
202643012103,dirt,2,cloudy,good,3,2,5,6,ビリオネアボーイ,2022110094,本橋孝太,05488,1:38.4,,8-8-7-6
202643012103,dirt,2,cloudy,good,3,3,7,9,ジャガンナート,2020107080,庄司大輔,a01d5,1:39.1,,3-3-3-4
202643012103,dirt,2,cloudy,good,3,4,8,12,ハヤブサアポチャン,2021101051,桑村真明,05411,1:39.1,,2-2-2-2
202643012103,dirt,2,cloudy,good,3,5,8,11,イクノオリンピア,2021107318,古岡勇樹,05606,1:39.4,,1-1-1-1
202643012103,dirt,2,cloudy,good,3,6,4,4,エコロジョイアー,2020103528,石川倭,05534,1:39.7,,4-4-6-5
202643012103,dirt,2,cloudy,good,3,7,5,5,ボニファシオ,2020104229,臼井健太,05554,1:39.8,,11-11-11-10
202643012103,dirt,2,cloudy,good,3,8,1,1,ワイルドウォリアー,2021102582,篠谷葵,05605,1:39.9,,7-7-8-8
202643012103,dirt,2,cloudy,good,3,9,2,2,シーメジャー,2021105216,木間塚龍,05607,1:40.0,,9-9-9-9
202643012103,dirt,2,cloudy,good,3,10,7,10,コルネイユドール,2022103488,小杉亮,a025d,1:40.3,,10-10-12-12
202643012103,dirt,2,cloudy,good,3,11,3,3,ワナカ,2022104540,本田正重,05443,1:40.3,,5-5-5-7
202643012103,dirt,2,cloudy,good,3,12,6,7,グリントレッド,2022100567,池谷匠翔,05599,1:41.0,,12-12-10-11
202643012104,dirt,2,sunny,good,4,1,4,4,シャイニーデューク,2019101228,本田正重,05443,1:15.5,,4-4-4
202643012104,dirt,2,sunny,good,4,2,2,2,スピリットサージ,2022105339,山中悠希,05598,1:15.8,,7-6-5
202643012104,dirt,2,sunny,good,4,3,6,7,ヒロイックバイオ,2021101814,古岡勇樹,05606,1:16.5,,10-10-10
202643012104,dirt,2,sunny,good,4,4,1,1,フレンドシルバー,2022100256,藤本現暉,05590,1:16.6,,9-9-7
202643012104,dirt,2,sunny,good,4,5,5,6,シェリーフィーユ,2022106440,仲野光馬,05618,1:16.8,,12-12-11
202643012104,dirt,2,sunny,good,4,6,3,3,ザビッグマン,2019106263,張田昂,05549,1:17.0,,3-8-6
202643012104,dirt,2,sunny,good,4,7,8,12,ヘマソラール,2021105588,木間塚龍,05607,1:17.2,,2-3-2
202643012104,dirt,2,sunny,good,4,8,5,5,キュイジニエール,2022105426,山口達弥,a01fb,1:17.4,,11-2-3
202643012104,dirt,2,sunny,good,4,9,6,8,エムティラヴ,2022100516,池谷匠翔,05599,1:17.7,,8-11-12
202643012104,dirt,2,sunny,good,4,10,8,11,ミツカネエリーズ,2021100455,佐野遥久,05683,1:18.2,,1-1-1
202643012104,dirt,2,sunny,good,4,11,7,10,ノボザドリーム,2022106382,本橋孝太,05488,1:18.7,,6-5-9
202643012104,dirt,2,sunny,good,4,12,7,9,リュウノハミング,2022109031,野澤憲彦,05358,1:18.9,,5-7-8
202643012105,dirt,1,sunny,good,5,1,7,9,ヨタロー,2022103852,木間塚龍,05607,1:15.7,,5-6-6
202643012105,dirt,1,sunny,good,5,2,8,12,ラブリエスト,2021106866,古岡勇樹,05606,1:15.8,,6-4-4
202643012105,dirt,1,sunny,good,5,3,3,3,ドントレットゴー,2021103614,笹川翼,05524,1:16.0,,4-5-5
202643012105,dirt,1,sunny,good,5,4,7,10,マクマード,2022101497,石川倭,05534,1:16.0,,9-9-8
202643012105,dirt,1,sunny,good,5,5,8,11,シナジーエフェクト,2020101832,臼井健太,05554,1:16.4,,11-10-10
202643012105,dirt,1,sunny,good,5,6,5,5,ハーモニーロワ,2020104783,岡村健司,05562,1:16.7,,1-2-2
202643012105,dirt,1,sunny,good,5,7,2,2,クールガジェット,2018106048,實川純一,a01f6,1:16.9,,10-11-12
202643012105,dirt,1,sunny,good,5,8,6,7,ジュンフカリ,2020103424,小杉亮,a025d,1:17.0,,8-8-9
202643012105,dirt,1,sunny,good,5,9,6,8,ルルネージュ,2019104123,藤本現暉,05590,1:17.1,,3-3-3
202643012105,dirt,1,sunny,good,5,10,5,6,マルヒロユートピア,2022103173,仲野光馬,05618,1:17.3,,7-7-7
202643012105,dirt,1,sunny,good,5,11,1,1,メイショウポルポ,2017104517,矢野貴之,05380,1:17.5,,12-12-11
202643012105,dirt,1,sunny,good,5,12,4,4,サニーサフラン,2020100892,張田昂,05549,1:17.6,,2-1-1
202643012106,dirt,2,sunny,good,6,1,8,12,バーンズベリー,2022110025,藤本現暉,05590,1:15.1,,8-8-5
202643012106,dirt,2,sunny,good,6,2,7,9,デザーヴ,2022104543,本田正重,05443,1:15.1,,1-1-1
202643012106,dirt,2,sunny,good,6,3,4,4,ヴィーケン,2021100698,笹川翼,05524,1:15.4,,6-5-3
202643012106,dirt,2,sunny,good,6,4,6,8,マナラナキラ,2022102072,石川倭,05534,1:15.7,,7-6-7
202643012106,dirt,2,sunny,good,6,5,8,11,コムダビチュード,2021101197,仲野光馬,05618,1:16.1,,11-10-10
202643012106,dirt,2,sunny,good,6,6,7,10,フィードウィン,2022103600,加藤雄真,a056f,1:16.3,,5-7-8
202643012106,dirt,2,sunny,good,6,7,6,7,ヒョイザブロー,2022107237,木間塚龍,05607,1:16.3,,10-9-9
202643012106,dirt,2,sunny,good,6,8,2,2,バーンストレート,2022101515,山中悠希,05598,1:17.6,,2-2-2
202643012106,dirt,2,sunny,good,6,9,5,6,ランディー,2020102519,桑村真明,05411,1:17.7,,4-4-4
202643012106,dirt,2,sunny,good,6,10,5,5,アナカプリ,2021102094,庄司大輔,a01d5,1:17.7,,9-11-11
202643012106,dirt,2,sunny,good,6,11,1,1,ミスゴールド,2021102100,臼井健太,05554,1:18.2,,12-12-12
202643012106,dirt,2,sunny,good,6,12,3,3,アークシャルダーム,2022105286,岡村健司,05562,1:18.2,,3-3-6
202643012107,dirt,1,sunny,good,7,1,3,3,バーリフレイバー,2021103726,川島正太,05444,1:44.7,,5-3-3-3
202643012107,dirt,1,sunny,good,7,2,5,8,ミッドナイトホーク,2021105889,篠谷葵,05605,1:45.1,,7-6-7-5
202643012107,dirt,1,sunny,good,7,3,6,10,サンダーバローズ,2021106698,山口達弥,a01fb,1:45.4,,11-9-10-9
202643012107,dirt,1,sunny,good,7,4,7,11,エーオ,2022102958,笠野雄大,a0235,1:45.6,,13-10-8-8
202643012107,dirt,1,sunny,good,7,5,6,9,ソルテア,2020106835,福原杏,05595,1:45.6,,14-14-4-4
202643012107,dirt,1,sunny,good,7,6,3,4,ハクサントップ,2018104465,石川倭,05534,1:45.8,,6-7-9-10
202643012107,dirt,1,sunny,good,7,7,4,6,レーザースペックル,2022105635,佐野遥久,05683,1:45.9,,8-8-11-12
202643012107,dirt,1,sunny,good,7,8,5,7,ディアモミノル,2021104431,矢野貴之,05380,1:46.0,,10-13-14-13
202643012107,dirt,1,sunny,good,7,9,8,14,コスモパンドラ,2019100763,赤津和希,05561,1:47.0,,9-11-12-14
202643012107,dirt,1,sunny,good,7,10,8,13,シナツヒメ,2022106431,笹川翼,05524,1:47.0,,2-2-2-2
202643012107,dirt,1,sunny,good,7,11,4,5,ラスジャン,2021101587,小杉亮,a025d,1:47.1,,12-12-13-11
