horse_id,sire_id,sire_name,damsire_id,damsire_name
2002100717,000a00033a,サンデーサイレンスSunday Silence(米),000a001e3e,Geiger Counter
2005102888,1991109979,タイキブリザード,000a000603,General Assembly
2005103763,1994109686,タイキシャトル,000a0004ec,ウエスタンウインドWestern Wind(米)
2005103853,1999110099,シンボリクリスエス,000a000134,フォーティナイナーForty Niner(米)
2005104493,000a0003a1,ワイルドラッシュWild Rush(米),1992109450,ジェニュイン
2005105204,1992103687,マーベラスサンデー,000a000cf9,パドスールPas de Seul(英)
2005105493,1997110025,アグネスデジタル,000a00167b,Majestic Light
2005105894,1997105873,ダイタクリーヴァ,000a000152,グロウGlow(米)
2005105955,1986109001,カコイーシーズCacoethes(米),000a000013,アフリートAfleet(加)
2005106682,1992109618,フジキセキ,000a001fe2,Wolfhound
2006100292,1999110099,シンボリクリスエス,000a00033a,サンデーサイレンスSunday Silence(米)
2006100381,000a00fa36,マリエンバードMarienbard(愛),000a0003c7,トウショウボーイ
2006100429,000a00fe9b,プリサイスエンドPrecise End(米),000a0001a7,ジェイドロバリーJade Robbery(米)
2006100583,1992109450,ジェニュイン,1988107894,リンドシェーバー
2006101046,1999106689,ゴールドアリュール,000a000229,モガンボMogambo(米)
2006101332,1995108558,マイネルラヴ,000a0015fc,Seattle Slew
2006102089,1993109219,バブルガムフェロー,000a000d71,ロドリゴデトリアーノRodrigo de Triano(米)
2006102523,1992109612,タヤスツヨシ,1992190011,ピルサドスキーPilsudski(愛)
2006102741,000a00fa35,ウォーエンブレムWar Emblem(米),000a00033a,サンデーサイレンスSunday Silence(米)
2006102967,000a000013,アフリートAfleet(加),1992109612,タヤスツヨシ
2006103077,1998101554,マンハッタンカフェ,000a00181a,Private Account
2006103534,1993190010,チーフベアハートChief Bearhart(加),1979101744,アスワン
2006104066,1994109470,フィールドアスカ,000a00021b,ミルジョージ
2006104442,1999106689,ゴールドアリュール,1985109001,キャロルハウスCarroll House(愛)
2006105412,1990109700,ホワイトマズルWhite Muzzle(英),000a000013,アフリートAfleet(加)
2006105667,1992103687,マーベラスサンデー,000a00035e,ティンバーカントリーTimber Country(米)
2006106231,1996103387,ラスカルスズカ,000a0000d3,Danzig
2006106739,1998101799,ミレニアムバイオ,000a001679,Arctic Tern
